ID,실거래명,동,시군구코드,K-apt코드,K-apt명,실거래준공,K-apt준공,년도차이,세대수,주소,검증결과,비고
12549,"구덕","서대신동3가",26140,A10022281,"구덕자유아파트",1979,1996,17,116,"부산광역시 서구 서대신동3가 566-5 구덕자유아파트",검토필요,
785,"신동아","길동",11740,A10024972,"길동신동아아파트",1983,1999,16,95,"서울특별시 강동구 길동 92 길동신동아아파트",검토필요,
9633,"태영","대천동",44180,A70480001,"월배태영데시앙",1993,2009,16,431,"대구광역시 달서구 대천동 497-2 월배태영데시앙",검토필요,
9694,"일신","호계동",41173,A43108001,"일신건영장미",1984,2000,16,168,"경기도 안양동안구 호계동 819-2 일신건영장미",검토필요,
10481,"하남","신장동",41450,A46572201,"하남대명강변타운",1991,2007,16,1369,"경기도 하남시 신장동 569 하남대명강변타운",검토필요,
10993,"쌍촌","쌍촌동",29140,A50282105,"쌍촌주공임대",1975,1991,16,1416,"광주광역시 서구 쌍촌동 1229 쌍촌주공임대",검토필요,
11689,"대림","문현동",26290,A60872101,"대림문현시티프라자",1983,1999,16,521,"부산광역시 남구 문현동 363-1 대림문현시티프라자",검토필요,
12057,"금광","금광동",41133,A46285003,"래미안금광",1990,2006,16,1098,"경기도 성남중원구 금광동 2500 래미안금광",검토필요,
12125,"태화","태화동",31110,A76090505,"태화우성아파트",1979,1995,16,386,"경상북도 안동시 태화동 578-1 태화우성아파트",검토필요,
12147,"진흥","홍은동",11410,A12071004,"진흥",2002,2018,16,90,"서울특별시 서대문구 홍은동 459 진흥",검토필요,
12185,"대화","대화동",30230,A41180515,"대화성저마을1단지동익",1979,1995,16,640,"경기도 고양일산서구 대화동 2212 대화성저마을1단지동익",검토필요,
12559,"삼창","하단동",26380,A60485001,"하단삼창",1985,2001,16,162,"부산광역시 사하구 하단동 277 하단삼창",검토필요,
12561,"북정","북정동",31110,A62611004,"북정동원",1979,1995,16,570,"경상남도 양산시 북정동 437 북정동원",검토필요,
12587,"진흥","덕천동",26320,A44899106,"신정마을진흥아파트",1983,1999,16,414,"경기도 용인수지구 풍덕천동 1027 신정마을진흥아파트",검토필요,
