ID,실거래명,동,실거래준공,현재매핑,K-apt준공,년도차이,네이버명,네이버준공,일치여부
12974,"백운","시흥동",2000,"백운한비치1차아파트",2003,3,"",,X
654,"계양주공","계양동",1985,"계양주공2.3차",1987,2,"",,X
2400,"주공","용운동",1985,"용운2고층주공아파트",1987,2,"",,X
3163,"한일타운","양덕동",1994,"한일타운2차아파트",1996,2,"",,X
3410,"현대","신안동",1991,"신안현대",1989,2,"",,X
3691,"현대","상동",1996,"용상현대아파트",1994,2,"",,X
4166,"현대","상동",1996,"용상현대아파트",1994,2,"",,X
4935,"현대","탑동",1991,"야탑장미마을현대",1993,2,"",,X
5998,"승리","효자동",1992,"승리행복화목마을회",1990,2,"",,X
6429,"동부","내동",1994,"별내동부일신",1996,2,"",,X
6621,"현대","신림동",1991,"신림현대",1993,2,"",,X
7008,"현대","신안동",1991,"신안현대",1989,2,"",,X
7505,"근화네오빌","석현동",2002,"근화네오빌2차",2004,2,"",,X
7584,"화명대우","화명동",2000,"화명대우이안아파트",2002,2,"",,X
7873,"동산동삼호(2)","동산동",1993,"동산동삼호(2)",1991,2,"",,X
8352,"남산주공2","교현동",1984,"남산주공2.3차 아파트",1986,2,"",,X
8371,"진천현대","진천동",1995,"진천현대1차아파트",1993,2,"",,X
8605,"대림현대","대림동",1999,"대림현대3차",1997,2,"",,X
8719,"영도센트럴에일린의뜰","봉래동4가",2023,"영도 센트럴 에일린의뜰",2021,2,"",,X
8857,"한국아델리움","임동",2005,"임동2단지한국아델리움",2007,2,"",,X
9469,"아름마을일신건영","인창동",2001,"인창아름마을일신건영1차",1999,2,"",,X
9921,"우미린뉴시티","후평동",2019,"춘천후평우미린뉴시티",2021,2,"",,X
10105,"인덕빌라","인덕동",1990,"인덕빌라",1988,2,"",,X
11157,"대창","율량동",1993,"율량대창3차아파트",1995,2,"",,X
11730,"우성","길동",1996,"길동우성2차",1994,2,"",,X
11736,"미광하야로비","동해면 약전리",1994,"미광하야로비타운",1992,2,"",,X
11855,"지평더웰","영동읍 부용리",2007,"지평더웰2차 아파트",2009,2,"",,X
